0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,666,-1,1,699,1,1,640,-3,2,637,-2,2,647,-1,5,666,-3,5,633,-1,5,665,-3,2,4
0,240,666,-1,1,699,1,1,640,-3,2,637,-2,2,647,-1,5,666,-3,5,633,-1,5,665,-3,2,4,0,240,666,-1,1,698,1,1,637,-3,2,635,-2,2,642,-1,5,662,-3,5,628,-1,5,662,-3,2,4
0,240,666,-1,1,698,1,1,637,-3,2,635,-2,2,642,-1,5,662,-3,5,628,-1,5,662,-3,2,4,8,248,667,-1,1,699,1,1,635,-3,2,632,-2,2,640,-1,5,661,-3,5,622,-1,5,658,-3,2,1
8,248,667,-1,1,699,1,1,635,-3,2,632,-2,2,640,-1,5,661,-3,5,622,-1,5,658,-3,2,1,8,256,668,-1,1,700,1,1,632,-3,2,629,-2,2,637,-1,5,661,-3,5,616,-1,5,653,-3,2,1
8,256,668,-1,1,700,1,1,632,-3,2,629,-2,2,637,-1,5,661,-3,5,616,-1,5,653,-3,2,1,8,264,669,-1,1,701,1,1,629,-3,2,626,-2,2,635,-1,5,660,-3,5,611,-1,5,649,-3,2,1
8,264,669,-1,1,701,1,1,629,-3,2,626,-2,2,635,-1,5,660,-3,5,611,-1,5,649,-3,2,1,8,272,670,-1,1,702,1,1,627,-3,2,624,-2,2,633,-1,5,660,-3,5,605,-1,5,645,-3,2,1
8,272,670,-1,1,702,1,1,627,-3,2,624,-2,2,633,-1,5,660,-3,5,605,-1,5,645,-3,2,1,8,280,672,-1,1,703,1,1,625,-3,2,621,-2,2,631,-1,5,660,-3,5,600,-1,5,641,-3,2,1
8,280,672,-1,1,703,1,1,625,-3,2,621,-2,2,631,-1,5,660,-3,5,600,-1,5,641,-3,2,1,8,288,673,-1,1,705,1,1,623,-3,2,619,-2,2,629,-1,5,661,-3,5,595,-1,5,638,-3,2,1
8,288,673,-1,1,705,1,1,623,-3,2,619,-2,2,629,-1,5,661,-3,5,595,-1,5,638,-3,2,1,8,296,675,-1,1,706,1,1,621,-3,2,617,-2,2,627,-1,5,661,-3,5,590,-1,5,634,-3,2,1
8,296,675,-1,1,706,1,1,621,-3,2,617,-2,2,627,-1,5,661,-3,5,590,-1,5,634,-3,2,1,8,296,674,-1,1,705,1,1,619,-3,2,615,-2,2,623,-1,5,658,-3,5,585,-1,5,632,-3,2,4
8,296,674,-1,1,705,1,1,619,-3,2,615,-2,2,623,-1,5,658,-3,5,585,-1,5,632,-3,2,4,8,304,676,-1,1,706,1,1,618,-3,2,613,-2,2,622,-1,5,659,-3,5,580,-1,5,629,-3,2,1
8,304,676,-1,1,706,1,1,618,-3,2,613,-2,2,622,-1,5,659,-3,5,580,-1,5,629,-3,2,1,8,304,675,-1,1,705,1,1,616,-3,2,611,-2,2,617,-1,5,656,-3,5,575,-1,5,626,-3,2,2
8,304,675,-1,1,705,1,1,616,-3,2,611,-2,2,617,-1,5,656,-3,5,575,-1,5,626,-3,2,2,8,304,675,-1,1,703,1,1,614,-3,2,609,-2,2,613,-1,5,653,-3,5,570,-1,5,624,-3,2,4
8,304,675,-1,1,703,1,1,614,-3,2,609,-2,2,613,-1,5,653,-3,5,570,-1,5,624,-3,2,4,8,312,677,-1,1,705,1,1,613,-3,2,607,-2,2,612,-1,5,654,-3,5,566,-1,5,621,-3,2,1
8,312,677,-1,1,705,1,1,613,-3,2,607,-2,2,612,-1,5,654,-3,5,566,-1,5,621,-3,2,1,8,312,676,-1,1,704,1,1,611,-3,2,606,-2,2,608,-1,5,681,-3,3,561,-1,5,619,-3,2,4
8,312,676,-1,1,704,1,1,611,-3,2,606,-2,2,608,-1,5,681,-3,3,561,-1,5,619,-3,2,4,-8,304,673,-1,1,700,1,1,609,-3,2,603,-2,2,600,-1,5,676,-3,3,555,-1,5,617,-3,2,0
